0,3,0,0,3,2,  @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,3,0,3,0,1,!!!!!  @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
10,3,0,3,0,1,Keeks is a bitch she curves everyone lol I walked into a conversation like this. Smh
101,3,0,3,0,1,@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI&lt;bitch want likes for some depressing shit..foh
1022,3,0,3,0,1, 128514;128514;128514;128514;128514;128514;128514;@betysweetcocker: That pussy is just....128561; imma assume she just had a baby like..the day before
10272,3,0,3,0,1,I aint saying you a bitch, But you be acting like a female, dog.
10273,3,0,3,0,1,I almost beat that bitch up.
10274,3,1,2,0,1,I almost blacked out.... Little cunt was disrespecting my tule.... And we don't disrespect Gorilla.
10275,3,0,3,0,1,I almost ran this fine red bitch over.
10276,3,0,0,3,2,I almost stepped on a bird running around the floor ah they are so creepy
10277,3,0,3,0,1,I almost was nice once.. Then I realized people need to toughen up and stop being such emotional bitches
10278,3,0,3,0,1,I already done been exposed on Facebook by some hoe
10279,3,0,3,0,1,I already know I'm about to buy so many bitches drinks tonight that I'll never fuck but life's all about hits and misses. Gotta take chances
10280,6,2,4,0,1,I already know Wilson gone hoe later on let me gone get my ammo
10281,3,2,1,0,0,I already know you trash if being tatted is on the list of things you want in a nigga..
1023,3,1,2,0,1,128514;128514;128514;128514;128514;128514;128514;128514;@AlisaRenee: you a faggot if you eat pork chops.
10282,3,0,1,2,2,I also had a dream that I went to the FOB show and FOB was rude to me and @audizzle was getting badly hit on by some creep
10283,3,0,3,0,1,I always felt funny about a chick calling me daddy.It sound sexy and all but bitch you need to go and find your dad...
10284,3,0,2,1,1,I always listen to ghetto ass rap when I get ready for football games.
10285,3,0,3,0,1,I always look like such a bitch
10286,3,0,3,0,1,I always love when @kathy_doermer and I vent about bitches 128076;
10287,3,0,0,3,2,I always soprised dat I has mo while followers den colored
10288,3,0,3,0,1,I always wanted a bull dog them hoes clean fuck a pit
10289,3,0,0,3,2,I am a Yankee by bih, and lived much of my life in noh. I see no diff in level of racism @frendafox @melinwy @NoahCRothman
10290,3,0,0,3,2,I am a celestial body hello http://t.co/yKDRM9Ax69
10291,3,0,0,3,2,I am currently using a yellow marker that is literally called 'Spanish Orange' for this drawing of @Wikiparaz ; absolute perfection.
1024,3,0,3,0,1,128514;128514;128514;128514;128514;128514;128514;128514;128514;128514;128514;128514;128514;128514;  @PushupSensei: McNair had brisket sizzlin on the grill when his side hoe laid the Uzi game down
10292,3,0,1,2,2,I am extremely sad to have to admit that some of the best 21st century Arabic rhymes have been written by Jihadis
10293,3,0,3,0,1,I am for equality in the law for all people white black red yellow and blue. Homo's Hetero's well I draw the line... http://t.co/UGZykAbw
10294,3,0,3,0,1,I am hungrier den a bitch
10295,3,0,3,0,1,I am legend in this bitch
10296,3,0,3,0,1,I am not your side bitch no more.
10297,3,0,3,0,1,I am out! I can't listen to Joe bitch about things he did himself and tell half truths. #msnbc your viewers deserve better #morningjoe
10298,3,1,2,0,1,I am so damn done dealing with hoes with kids. Pueo Rican dominican I don't care.
10299,3,0,3,0,1,I am such a daddy's girl it's crazy I will drop a bitch in a second over my dad bro.
10300,3,0,3,0,1,I am such a little bitch today128517;
10301,3,0,3,0,1,I am such a pussy128514;127770;
1025,3,1,2,0,1,128514;128514;128514;128514;128557;128557;128557;128557; @KfromtheG: Mexican bitches shaped like silly puddy!
10302,3,1,2,0,1,I am the real vampire nigger.
10303,3,0,3,0,1,I am what u said I am but am ain't no bitch
