73016	@USER For all I know you're naming off sex robot models	OFF	TIN	IND
83886	@USER @USER U a dickhead for that😂	OFF	TIN	IND
19886	@USER AntiChrist. The Roman Catholic Church is a House of demons.	OFF	TIN	OTH
98403	@USER @USER Juan needs to check himself. He is completely out of control.	OFF	TIN	IND
49519	@USER @USER Funny because he is a dildo!	OFF	TIN	IND
91705	@USER @USER The hell with the liberals. Move them all to California and build a wall on the east border	OFF	TIN	GRP
92335	@USER The Democrats don't care. They will do anything to undermine President Trump. People had better realize how serious they are about getting rid of him. Vote Red or suffer under the liberals.	OFF	TIN	IND
61158	@USER @USER But to go all antifa on ppl like friggen Milo? I don't buy that conservatives who like medicare don blackout and then going millennials for antifa protests.	OFF	TIN	OTH
88278	@USER Why in the hell would I do that? The left already hates me enough. Black conservatives aren’t liked in this country. I comment and fight because of that.	OFF	TIN	GRP
96775	@USER Disgusting.. pedophile	OFF	TIN	IND
37967	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I follow all these MAGA Patriots 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸	OFF	TIN	OTH
81896	@USER I know a whole lotta people spitting a whole lot of bullshit right now idk if youll ever see this but I pray you feel no way responsible for what happened today. You have already been through so damn much. Just know that you are good you are great I love you.	OFF	TIN	GRP
78431	@USER @USER @USER @USER @USER Obama never laments for those that are killed in Chicago every week. Chicago his old stomping ground.  Ask him how those draconian gun control laws are working there? And watch him blame Indiana.	OFF	TIN	GRP
77001	"#NazisAreBad Their programs called for the nationalization of education, health care, transportation, and other major industries. They instituted and vigorously enforced a strict gun control regimen. They encouraged pornography, illegitimacy, and abortion,..."" (3)"""	OFF	TIN	GRP
56826	"@USER furries can suck my dick, this is both an offer and an insult"""""	OFF	TIN	IND
64933	"@USER @USER  Don't let your bretheren"" fool you!  EACH ONE OF YOUR Republicans, NEED TO DECIDE IF YOU ARE GOING TO BE GOOD PEOPLE or #rePUNKlicans!  You NEED TO KNOW, that kavanaugh is going to make #ronaldgrump into the first dictator of #naziUSA, which cannot happen! URL"	OFF	TIN	IND
71246	@USER Why not begin the movement by giving away some of the farms and mine claims you and your connections took while you were still relevant. That way; we can show your concern for us. From where I am standing; you are just another bitter polutician. Charity begins at home baba.	OFF	TIN	IND
94587	@USER I'm frothing over all of it so far.. 🤤🤤 ..the goodest shit. 😏	OFF	TIN	OTH
60140	@USER @USER Fair point but i didnt make the meme and couldnt take the big gov sucks off of it. And besudes meddling in many counties politics and economics. He funds antifa black lives matter to try and divide we the people to try and tear the country apart URL	OFF	TIN	GRP
46961	@USER Vicious steps. Republicans defended on advance in hearings and Liberals only response was to 'out' the liar and claim Republicans were defending him because of Feinstein's 'info'. Real women don't lie about men. #Honorable #Judge #Kavanaugh	OFF	TIN	IND
23495	.... and so it begins.   &lt;&lt;&lt;&lt; The unfair and biased and unjustified targeting of Conservatives in a massive CENSORSHIP OF CONSERVATIVES Exercise . &gt;&gt;&gt;&gt;  #Pray4TheUSA  #Pray4Revival	OFF	TIN	GRP
64170	@USER I swear to god . This shit is too real man	OFF	TIN	IND
90619	@USER We are “Casually fucked”	OFF	TIN	IND
40559	@USER hmm i'd do something like getting really high quality artists to draw really boring cars like a fucking 2002 grand prix or something	OFF	TIN	OTH
73258	@USER @USER HOW DARE YOU!!! Kappa	OFF	TIN	IND
80183	A cute girl that I've had a crush on since earlier this year just called me funny and I want to throw up	OFF	TIN	IND
38487	@USER Is it gun control OR anti 2a?  I haven’t seen a single ad attacking 2a.  That’s just @USER rhetoric to create fear.	OFF	TIN	GRP
79787	@USER @USER BOOP POLICE DEPARTMENT FREEZE OH SHIT  SHE IS TOO CUTE OPEN BOOPBOOPBOOP URL	OFF	TIN	IND
27483	@USER @USER @USER Could be either. Liberals like this have no shame and will do “ANYTHING”  I suspect it is the latter.	OFF	TIN	GRP
81405	@USER He also said he had a gatlin gun and niggas that sit on the corner like boxers between rounds	OFF	TIN	GRP
10974	@USER @USER Oh no!! That sucks 😭 what if you are “sick” 🤮🤢	OFF	TIN	IND
69148	@USER @USER Ezra is a cockroach who needs to have light shone on.	OFF	TIN	IND
44383	@USER Democrats haven't done anything but cover up ..so all you think you have a solution .ya don't.....you want gun control.? How about abortion control. Free medical. Free ed. Quit tripping	OFF	TIN	GRP
71272	@USER  Poor Baby.  This is why you and your entire network CAN NOT be trusted.  The only people still watching CNN are brainwashed liberals and demonrats. URL	OFF	TIN	GRP
82657	@USER @USER Maxine is a CRACKED POT and should be run out of town.   What  a loser she is.😀 What a joke she is also.	OFF	TIN	IND
31194	@USER You kept a SCJ seat open for over a year with Merrick Garland. It is not fair to push Kavanaugh thru. He is the most unpopular nominee ever. The American people deserve better than this. The woman deserves better than this.	OFF	TIN	IND
